Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
               11.26    1.08       4/7           luaD_pcall <cycle 1> [218]
                0.00    0.00       4/271946189     luaH_getshortstr [12]
                0.00    0.00       4/4           luaT_gettmbyobj [231]
-----------------------------------------------
                0.00    3.09       1/1           main [1]
[7]     14.3    0.00    3.09       1         luaL_newstate [7]
                0.00    3.09       1/1           lua_newstate [8]
                0.00    0.00       1/1           lua_atpanic [264]
                0.00    0.00       1/1           lua_setwarnf [267]
-----------------------------------------------
                0.00    3.09       1/1           luaL_newstate [7]
[8]     14.3    0.00    3.09       1         lua_newstate [8]
                2.82    0.27       1/7           luaD_rawrunprotected <cycle 1> [27]
                0.00    0.00       1/40000948     l_alloc [22]
                0.00    0.00       1/1           luaS_hash [262]
-----------------------------------------------
                0.00    3.09       1/1           close_state [4]
[9]     14.3    0.00    3.09       1         luaD_closeprotected [9]
                2.82    0.27       1/7           luaD_rawrunprotected <cycle 1> [27]
-----------------------------------------------
                1.09    0.00 310000031/310000031     luaV_execute <cycle 1> [3]
[10]     5.0    1.09    0.00 310000031         luaD_pretailcall [10]
-----------------------------------------------
                                  16             luaD_callnoyield <cycle 1> [192]
                             306946254             luaV_execute <cycle 1> [3]
[11]     4.1    0.88    0.00 306946270         luaD_precall <cycle 1> [11]
                0.00    0.00       1/1           luaopen_package [28]
                0.00    0.00       1/1           luaopen_string [36]
                0.00    0.00       1/1           luaopen_debug [40]
                0.00    0.00       1/1           luaopen_table [41]
                0.00    0.00       1/1           luaopen_io [43]
                0.00    0.00       1/1           luaopen_math [50]
                0.00    0.00       3/3           f_gc [58]
                0.00    0.00       1/1           luaopen_base [71]
                0.00    0.00       3/3           str_format [72]
                0.00    0.00       3/3           luaB_print [74]
                0.00    0.00      33/33          luaE_extendCI [77]
                0.00    0.00       1/1           luaopen_utf8 [87]
                0.00    0.00       1/1           luaopen_os [91]
                0.00    0.00       1/1           luaopen_coroutine [90]
                0.00    0.00       2/2           luaD_reallocstack [141]
                0.00    0.00       1/1           gctm [146]
                0.00    0.00      27/31          luaD_poscall [184]
                0.00    0.00       6/6           os_clock [223]
                0.00    0.00       2/2           luaD_growstack [250]
                                   1             pmain <cycle 1> [57]
-----------------------------------------------
                0.00    0.00       4/271946189     GCTM [6]
                0.00    0.00       6/271946189     luaT_gettm [110]
                0.41    0.00 271946179/271946189     luaV_execute <cycle 1> [3]
[12]     1.9    0.41    0.00 271946189         luaH_getshortstr [12]
-----------------------------------------------
                0.00    0.00       1/142866      luaX_newstring [32]
                0.00    0.00       1/142866      lua_pushstring [39]
                0.00    0.00       1/142866      lua_newuserdatauv [42]
                0.00    0.00       1/142866      luaL_getsubtable [38]
                0.00    0.00       1/142866      luaopen_debug [40]
                0.00    0.00       1/142866      luaopen_package [28]
                0.00    0.00       1/142866      luaopen_string [36]
                0.00    0.00       1/142866      luaopen_table [41]
                0.00    0.16  142858/142866      luaV_execute <cycle 1> [3]
[13]     0.8    0.00    0.16  142866         luaC_step [13]
                0.04    0.11  714295/714299      dothecall [14]
                0.00    0.01  142859/142860      atomic [24]
                0.00    0.00  142859/142860      finishgencycle [167]
                0.00    0.00  142859/142868      luaE_setdebt [165]
                0.00    0.00      33/286012      reallymarkobject [162]
-----------------------------------------------
                0.00    0.00       4/714299      luaD_rawrunprotected <cycle 1> [27]
                0.04    0.11  714295/714299      luaC_step [13]
[14]     0.7    0.04    0.11  714299         dothecall [14]
                0.08    0.00 19999991/20000290     freeobj [15]
                0.02    0.01 19999991/20000430     luaM_free_ [21]
                0.00    0.00       1/21          luaH_free [79]
-----------------------------------------------
                0.00    0.00       3/20000290     sweep2old [99]
                0.00    0.00     296/20000290     luaC_freeallobjects [5]
                0.08    0.00 19999991/20000290     dothecall [14]
[15]     0.4    0.08    0.00 20000290         freeobj [15]
                0.00    0.00     236/236         luaS_remove [169]
-----------------------------------------------
                0.00    0.00       1/20000290     luaF_initupvals [120]
                0.00    0.00       4/20000290     luaS_newudata [106]
                0.00    0.00       6/20000290     luaF_newproto [97]
                0.00    0.00       7/20000290     luaF_newCclosure [95]
                0.00    0.00       8/20000290     luaS_newlstr [93]
                0.00    0.00      21/20000290     luaH_new [73]
                0.00    0.00     236/20000290     internshrstr [45]
                0.01    0.02 10000001/20000290     luaF_findupval [19]
                0.01    0.02 10000006/20000290     luaF_newLclosure [18]
[16]     0.3    0.03    0.04 20000290         luaC_newobj [16]
                0.03    0.01 20000290/20000364     luaM_malloc_ [20]
-----------------------------------------------
                0.07    0.00 35000103/35000103     luaV_execute <cycle 1> [3]
[17]     0.3    0.07    0.00 35000103         luaT_getvarargs [17]
-----------------------------------------------
                0.00    0.00       1/10000006     luaY_parser [30]
                0.03    0.04 10000005/10000006     luaV_execute <cycle 1> [3]
[18]     0.3    0.03    0.04 10000006         luaF_newLclosure [18]
                0.01    0.02 10000006/20000290     luaC_newobj [16]
-----------------------------------------------
                0.02    0.04 10000001/10000001     luaV_execute <cycle 1> [3]
[19]     0.3    0.02    0.04 10000001         luaF_findupval [19]
